Sample_Date,Year,JD,Station_ID,Latitude,Longitude,DepthName,Sample Depth (m),Pbahamense (cells/L),Temp (degC),Salinity (psu),Corr Chl a Avg (ug/L)
26-Jan-21,2021,26,TB Pyrodinium Station 01,28.02,-82.675,B,2.4,0,20.06,21.478,5.045510166
26-Jan-21,2021,26,TB Pyrodinium Station 05,27.957,-82.622,B,4.6,0,19.19,22.278,2.789635462
26-Jan-21,2021,26,TB Pyrodinium Station 06,27.942,-82.675,B,3.6,0,18.69,21.974,3.235031497
26-Jan-21,2021,26,TB Pyrodinium Station 07,27.9055,-82.6046,B,2.3,0,19.11,22.795,2.713126251
26-Jan-21,2021,26,TB Pyrodinium Station 01,28.02,-82.675,S,0.5,0,20.19,21.436,5.223605537
26-Jan-21,2021,26,TB Pyrodinium Station 02,27.972,-82.673,S,0.5,0,19.56,21.722,2.345657886
26-Jan-21,2021,26,TB Pyrodinium Station 03,27.98,-82.62,S,0.5,0,18.97,22.53,3.879221893
26-Jan-21,2021,26,TB Pyrodinium Station 04,27.949,-82.561,S,0.5,0,19.51,22.979,3.333202849
26-Jan-21,2021,26,TB Pyrodinium Station 05,27.957,-82.622,S,0.5,0,19.19,22.281,3.141413222
26-Jan-21,2021,26,TB Pyrodinium Station 06,27.942,-82.675,S,0.5,0,19.56,21.623,3.097773727
26-Jan-21,2021,26,TB Pyrodinium Station 07,27.9055,-82.6046,S,0.5,0,18.79,22.39,2.781019639
26-Jan-21,2021,26,TB Pyrodinium Station 08,27.9244,-82.5496,S,0.5,0,19.13,23.156,3.81528618
26-Jan-21,2021,26,TB Pyrodinium Station 09,27.86111,-82.58911,S,0.5,0,19.05,22.807,2.780721938
26-Jan-21,2021,26,TB Pyrodinium Station 10/MML E 10,27.7723,-82.5789,S,0.5,0,18.38,24.799,2.132573867
25-Feb-21,2021,56,TB Pyrodinium Station 01,28.02,-82.675,B,2,0,20.31,19.957,10.89169211
25-Feb-21,2021,56,TB Pyrodinium Station 05,27.957,-82.622,B,4.2,0,19.79,21.725,4.51353383
25-Feb-21,2021,56,TB Pyrodinium Station 06,27.942,-82.675,B,3.3,0,19.76,21.218,7.779483281
25-Feb-21,2021,56,TB Pyrodinium Station 07,27.9055,-82.6046,B,2.1,0,19.95,22.184,4.194625916
25-Feb-21,2021,56,TB Pyrodinium Station 01,28.02,-82.675,S,0.5,0,20.33,19.493,2.347868622
25-Feb-21,2021,56,TB Pyrodinium Station 02,27.972,-82.673,S,0.5,0,20.02,20.249,3.105456706
25-Feb-21,2021,56,TB Pyrodinium Station 03,27.98,-82.62,S,0.5,0,20.34,21.26,3.443582197
25-Feb-21,2021,56,TB Pyrodinium Station 04,27.949,-82.561,S,0.5,0,20.09,22.792,2.133203083
25-Feb-21,2021,56,TB Pyrodinium Station 05,27.957,-82.622,S,0.5,0,19.91,20.92,3.481549898
25-Feb-21,2021,56,TB Pyrodinium Station 06,27.942,-82.675,S,0.5,0,19.94,21.133,2.018711333
25-Feb-21,2021,56,TB Pyrodinium Station 07,27.9055,-82.6046,S,0.5,0,19.97,21.821,4.166786398
25-Feb-21,2021,56,TB Pyrodinium Station 08,27.9244,-82.5496,S,0.5,0,20.18,23.057,1.997935573
25-Feb-21,2021,56,TB Pyrodinium Station 09,27.86111,-82.58911,S,0.5,0,19.81,22.589,2.151070237
25-Feb-21,2021,56,TB Pyrodinium Station 10/MML E 10,27.7723,-82.5789,S,0.5,0,19.83,24.806,2.271483078
24-Mar-21,2021,83,TB Pyrodinium Station 01,28.02,-82.675,B,2.8,333,21.23,22.643,10.11041728
24-Mar-21,2021,83,TB Pyrodinium Station 05,27.957,-82.622,B,4.8,0,20.74,23.399,9.06321108
24-Mar-21,2021,83,TB Pyrodinium Station 06,27.942,-82.675,B,3.9,0,20.34,22.53,3.270471529
24-Mar-21,2021,83,TB Pyrodinium Station 07,27.9055,-82.6046,B,2.5,0,20.31,23.368,5.412774665
24-Mar-21,2021,83,TB Pyrodinium Station 01,28.02,-82.675,S,1,0,21.64,22.343,5.485171588
24-Mar-21,2021,83,TB Pyrodinium Station 02,27.972,-82.673,S,1,333,21.17,22.582,2.470944381
24-Mar-21,2021,83,TB Pyrodinium Station 03,27.98,-82.62,S,1,0,21.53,23.687,4.544521423
24-Mar-21,2021,83,TB Pyrodinium Station 04,27.949,-82.561,S,1,0,21.32,24.166,3.53246002
24-Mar-21,2021,83,TB Pyrodinium Station 05,27.957,-82.622,S,1,0,20.95,23.297,4.342438837
24-Mar-21,2021,83,TB Pyrodinium Station 06,27.942,-82.675,S,1,0,21.14,22.409,2.306691736
24-Mar-21,2021,83,TB Pyrodinium Station 07,27.9055,-82.6046,S,1,333,20.34,23.372,4.529396244
24-Mar-21,2021,83,TB Pyrodinium Station 08,27.9244,-82.5496,S,1,0,21.12,24.338,5.047391132
24-Mar-21,2021,83,TB Pyrodinium Station 09,27.86111,-82.58911,S,1,0,20.52,23.561,3.685989082
24-Mar-21,2021,83,TB Pyrodinium Station 10/MML E 10,27.7723,-82.5789,S,1,0,20.86,26.013,2.716805012
7-Apr-21,2021,97,TB Pyrodinium Station 01,28.02,-82.675,B,2.4,2667,21.81,23.052,5.523579346
7-Apr-21,2021,97,TB Pyrodinium Station 05,27.957,-82.622,B,4.5,0,21.99,23.917,4.979752692
7-Apr-21,2021,97,TB Pyrodinium Station 06,27.942,-82.675,B,3.7,0,21.09,23.022,3.847233685
7-Apr-21,2021,97,TB Pyrodinium Station 07,27.9055,-82.6046,B,2.4,0,21.42,23.765,3.794380532
7-Apr-21,2021,97,TB Pyrodinium Station 01,28.02,-82.675,S,0.5,3333,22.4,23.207,5.063026148
7-Apr-21,2021,97,TB Pyrodinium Station 02,27.972,-82.673,S,0.5,2000,21.27,23.285,2.833404845
7-Apr-21,2021,97,TB Pyrodinium Station 03,27.98,-82.62,S,0.5,0,22.21,24.246,4.044200901
7-Apr-21,2021,97,TB Pyrodinium Station 04,27.949,-82.561,S,0.5,0,22.37,24.864,2.649268539
