HAB ID,Date,Latitude,Longitude,Station ID,Depth_Name,Sample Depth (m),Pyrodinium (Cells/L),Chl a (ug/L)
HABW220106-060,1/6/2022,28.02,-82.675,TB Pyrodinium Station 01,S,0.5,0,18.1
HABW220106-061,1/6/2022,28.02,-82.675,TB Pyrodinium Station 01,B,1.8,0,12.2
HABW220106-062,1/6/2022,27.972,-82.673,TB Pyrodinium Station 02,S,0.5,0,20.7
HABW220106-063,1/6/2022,27.98,-82.62,TB Pyrodinium Station 03,S,0.5,0,12.5
HABW220106-064,1/6/2022,27.9493,-82.5609,TB Pyrodinium Station 04,S,0.5,0,7.3
HABW220106-065,1/6/2022,27.957,-82.622,TB Pyrodinium Station 05,S,0.5,0,12.2
HABW220106-066,1/6/2022,27.957,-82.622,TB Pyrodinium Station 05,B,4.1,0,5.1
HABW220106-067,1/6/2022,27.942,-82.675,TB Pyrodinium Station 06,S,0.5,0,14.9
HABW220106-068,1/6/2022,27.942,-82.675,TB Pyrodinium Station 06,B,3.3,0,9.9
HABW220106-069,1/6/2022,27.9055,-82.6046,TB Pyrodinium Station 07,S,0.5,0,9.8
HABW220106-070,1/6/2022,27.9055,-82.6046,TB Pyrodinium Station 07,B,2.4,0,6.2
HABW220106-071,1/6/2022,27.9244,-82.5496,TB Pyrodinium Station 08,S,0.5,0,11.0
HABW220106-072,1/6/2022,27.8611,-82.5891,TB Pyrodinium Station 09,S,0.5,0,3.6
HABW220106-073,1/6/2022,27.7723,-82.5789,TB Pyrodinium Station 10/MML E 10,S,0.5,0,3.0
HABW220207-001,2/3/2022,28.02,-82.675,TB Pyrodinium Station 01,S,0.5,0,5.0
HABW220207-002,2/3/2022,28.02,-82.675,TB Pyrodinium Station 01,B,2.1,0,5.1
HABW220207-003,2/3/2022,27.972,-82.673,TB Pyrodinium Station 02,S,0.5,0,2.4
HABW220207-004,2/3/2022,27.98,-82.62,TB Pyrodinium Station 03,S,0.5,0,2.4
HABW220207-005,2/3/2022,27.9493,-82.5609,TB Pyrodinium Station 04,S,0.5,0,1.7
HABW220207-006,2/3/2022,27.957,-82.622,TB Pyrodinium Station 05,S,0.5,0,3.3
HABW220207-007,2/3/2022,27.957,-82.622,TB Pyrodinium Station 05,B,4.4,0,3.1
