source,BAY_SEG,YEAR,TN_TONS,TP_TONS,h2oload10e6m3,tss_tons,bod_tons
AD,1,2022,157.82556034,2.7405484649,334.22396564,,
AD,2,2022,72.175155374,1.2606047557,156.34110671,,
AD,3,2022,168.84271369,2.9642269574,373.15526128,,
AD,4,2022,151.64629385,2.6746279657,341.88978583,,
AD,5,2022,15.557155801,0.2730059906,34.335262324,,
AD,6,2022,10.462853934,0.1856171712,24.146976178,,
AD,7,2022,27.404326495,0.4873486159,63.901993054,,
AD,55,2022,36.300030202,0.6370139781,80.115612089,,
AD,1,2023,112.25815096,1.8954022908,212.30145302,,
AD,2,2023,56.930037696,0.9571573681,105.76002163,,
AD,3,2023,145.36798305,2.4336126554,264.36910658,,
AD,4,2023,138.01225681,2.2899970105,240.92255445,,
AD,5,2023,13.32570134,0.2229943575,24.140853063,,
AD,6,2023,9.9276354437,0.16390018,16.960317261,,
AD,7,2023,26.802147559,0.440791482,44.85875195,,
AD,55,2023,31.093303126,0.5203201675,56.328657148,,
AD,1,2024,124.10369227,2.3766697704,374.16254795,,
AD,2,2024,59.602996784,1.1405988337,179.48625687,,
AD,3,2024,156.3826528,3.0466788418,494.95515566,,
AD,4,2024,133.52480155,2.6407725887,439.98287282,,
AD,5,2024,14.455925046,0.2843302572,46.94399798,,
AD,6,2024,8.6926165486,0.1714993841,28.450971333,,
AD,7,2024,22.324755501,0.4410375246,73.35212696,,
AD,55,2024,33.730491775,0.6634372668,109.53599529,,
DPS,1,2022,53.821746543,10.816234755,46.203076501,14.961918915,26.376137798
DPS,2,2022,287.53032509,275.970508,121.38350544,163.43507055,246.42875338
DPS,3,2022,22.496318226,1.4727766873,18.798458653,1.2985512448,3.2681734066
DPS,4,2022,5.5501181357,2.4051424853,3.4531542754,0.0731155425,0.0317204251
DPS,5,2022,42.019319396,10.038316962,23.237058775,10.142276751,9.5278465622
DPS,6,2022,0.8083306213,0.0798375263,0.3149954888,0.2799402656,0.8604362836
DPS,7,2022,39.223730854,2.0832425044,17.405846006,7.5186476041,6.5533039058
DPS,55,2022,1.4864715188,0.0845585952,0.8161214824,0.0753135065,0.1634032275
DPS,1,2023,45.931468685,10.504824485,39.274938327,13.300121331,25.198807531
DPS,2,2023,273.04235297,243.92929904,109.10400325,112.99165354,189.67264549
DPS,3,2023,29.13370172,1.8289483074,19.941044923,1.4801770547,2.9343912259
DPS,4,2023,3.817664817,1.7420260197,3.8370586472,0.0893439001,0.0498975516
DPS,5,2023,28.645435839,6.8829832337,20.982227591,5.2492461142,14.141379994
DPS,6,2023,0.0848877481,0.0058124911,0.0284776545,0.0313912406,0.0627824812
DPS,7,2023,33.731979437,2.4202196903,14.577695049,5.7048475761,3.9827488603
DPS,55,2023,1.8867645497,0.1150868892,0.8825129949,0.0781599553,0.1767020867
DPS,1,2024,69.924569709,12.817116648,48.352342675,28.146853571,42.713864595
DPS,2,2024,356.24243439,285.09418905,130.5454007,194.50072511,283.045503
DPS,3,2024,24.622724273,1.4858367383,19.01247452,1.8547683405,3.5967537483
DPS,4,2024,4.9136420178,1.0708162639,3.6984603293,0.0789243992,0.0715917863
DPS,5,2024,72.64267292,7.991419727,28.101518462,15.600152059,16.701446892
DPS,6,2024,1.5543473559,0.2330846558,0.2856623312,0.3206515292,0.629777637
DPS,7,2024,58.501763977,5.5197345589,18.534234926,81.747750393,16.581335071
DPS,55,2024,1.5793954567,0.077247499,0.7979490163,0.1113167732,0.198734932
IPS,1,2022,1.2935294174,0,0.1410823052,0.1959501076,1.4929595588
IPS,2,2022,94.435486474,130.97692423,68.751216846,415.33521898,695.91214088
IPS,3,2022,30.436472669,17.475137243,13.986238051,195.59722223,148.00500853
IPS,4,2022,3.8358100235,0.7286511314,0.3131984477,1.7021516546,3.3143250351
IPS,1,2023,0.7660718693,0,0.1041745382,0.2154783551,1.1023946085
IPS,2,2023,67.829104668,86.823729092,54.870952085,332.54427671,552.88079983
IPS,3,2023,21.951320396,0.5147780823,0.2699415151,3.6034465764,2.8565720176
IPS,4,2023,0.254305266,0.1288557963,0.0473917494,0.943010057,0.5015084295
IPS,1,2024,4.2147716468,0,0.499674384,1.0426206457,5.2876485581
IPS,2,2024,131.6305557,150.52496821,71.160528545,468.44814506,723.62596486
IPS,3,2024,29.823431116,28.714001331,23.257949869,325.59626509,246.12001141
IPS,4,2024,1.3153062392,1.0768350106,0.6767828224,5.1130610286,7.1618434519
ML,2,2022,4.426627,,0,,
ML,4,2022,0.021509,,0,,
ML,2,2023,3.239231,,0,,
ML,4,2023,0,,0,,
ML,2,2024,3.950121,,0,,
ML,4,2024,0.015881,,0,,
NPS,1,2022,344.64995274,68.234209372,264.12021583,11228.877436,2215.3324933
NPS,2,2022,725.47749243,142.37835823,571.18833552,21284.469077,4133.6650967
NPS,3,2022,374.1816786,66.190664507,263.03200934,6745.0344266,1524.1051748
NPS,4,2022,38.379294131,10.728387973,40.936247609,899.49441109,209.35176191
NPS,5,2022,120.3043422,20.256393881,62.460070238,3921.5788467,704.58193664
NPS,6,2022,24.359665895,4.8185921542,17.384544169,596.04398651,119.7766991
