BAY_SEG,YEAR,TN_TONS,TP_TONS,tss_tons,bod_tons,h2oload10e6m3,TN_H2O_RATIO,BASEH2O,NORMTN_TONS
1,2022,564.17615783,83.74796536,11244.035305,2243.2015907,704.86879415,0.8003988296,449.44,359.73124995
1,2023,281.96881913,41.263646261,4480.5531696,902.85129785,412.07029558,0.6842735867,449.44,307.5399208
1,2024,863.30052339,151.57284329,20628.295483,4122.8382436,980.98713474,0.880032462,449.44,395.52178972
2,2022,1338.4713772,557.98041241,22174.649827,5076.005991,1060.4769095,1.2621409906,895.62,1130.398714
2,2023,951.33039721,516.5867358,13298.783772,3101.3046977,736.55880281,1.2915878455,895.62,1156.7719062
2,2024,2137.1142985,913.82015314,37623.565755,8388.9435459,1510.3089658,1.4150179512,895.62,1267.3183775
3,2022,596.24351642,89.725346299,6941.9302001,1675.3783568,678.96744374,0.8781621592,645.25,566.63413322
3,2023,339.66111461,48.330121957,3136.8972818,746.86495352,411.10633927,0.8262123012,645.25,533.11348736
3,2024,1010.6796845,193.83245303,15456.138304,3550.2457745,1088.1758514,0.928783416,645.25,599.29749917
4,2022,199.54251461,17.159600557,901.26967828,212.69780737,390.41274114,0.5111065638,361.19,184.60657979
4,2023,156.49030121,9.2479061581,375.0711641,87.753014767,265.86730169,0.588603037,361.19,212.59753093
4,2024,255.19769343,35.707186211,2546.6647928,597.94696321,562.65609345,0.453558926,361.19,163.82094847
5567,2022,771.52083639,190.25923975,13778.946269,3436.4180455,715.0453493,1.0789816858,422.709,456.09526941
5567,2023,303.52006032,58.998415645,5046.8361421,1165.4088257,309.88122092,0.9794722617,422.709,414.03174028
5567,2024,1475.9248664,353.24508943,28124.514491,6553.0204891,1220.6942483,1.2090864428,422.709,511.09172115
