year,month,basin,BAY_SEG,segment,source,majbasin,h2oload,BAS_AREA,tnload,tpload,BODLOAD,tssload
2022,1,02306647,1,1,NPS,Coastal OTB,315554.89587,4940.2208183,426.97979871,87.70763989,2491.3316058,13550.970772
2022,2,02306647,1,1,NPS,Coastal OTB,415715.15443,4940.2208183,572.27724941,115.54691605,3282.1050055,17852.183505
2022,3,02306647,1,1,NPS,Coastal OTB,651526.2151,4940.2208183,888.56823309,181.08997008,5143.852537,27978.69028
2022,4,02306647,1,1,NPS,Coastal OTB,1585322.0784,4940.2208183,2321.6041113,440.63603443,12516.246938,68078.972722
2022,5,02306647,1,1,NPS,Coastal OTB,1647420.6333,4940.2208183,2265.1646658,457.89616178,13006.520087,70745.69003
2022,6,02306647,1,1,NPS,Coastal OTB,2044150.2048,4940.2208183,2930.386137,568.1660858,16138.732369,87782.569819
2022,7,02306647,1,1,NPS,Coastal OTB,2786565.8903,4940.2208183,3968.3384737,787.88336107,22176.509472,120557.98792
2022,8,02306647,1,1,NPS,Coastal OTB,2169562.8635,4940.2208183,3056.8942609,613.42977278,17266.173953,93863.968688
2022,9,02306647,1,1,NPS,Coastal OTB,7313038.092,4940.2208183,9979.2751255,2067.7139025,58199.829073,316391.28326
2022,10,02306647,1,1,NPS,Coastal OTB,1307490.7831,4940.2208183,1819.6588817,369.68450534,10405.489365,56567.28182
2022,11,02306647,1,1,NPS,Coastal OTB,1681535.1732,4940.2208183,2265.8651155,467.37820697,13275.857159,72210.68119
2022,12,02306647,1,1,NPS,Coastal OTB,1616088.2609,4940.2208183,2187.1723984,449.18741262,12759.148455,69400.174343
2023,1,02306647,1,1,NPS,Coastal OTB,1213037.8351,4940.2208183,1665.8813256,337.16062405,9577.0325138,52091.856167
2023,2,02306647,1,1,NPS,Coastal OTB,474416.22729,4940.2208183,659.17370215,131.86272235,3745.5547571,20373.001699
2023,3,02306647,1,1,NPS,Coastal OTB,422771.10735,4940.2208183,587.51501346,117.5080993,3337.8123286,18155.189458
2023,4,02306647,1,1,NPS,Coastal OTB,464083.776,4940.2208183,656.28914418,128.99084513,3663.9792126,19929.292071
2023,5,02306647,1,1,NPS,Coastal OTB,652078.01032,4940.2208183,967.01844868,181.24334009,5148.2090053,28002.386192
2023,6,02306647,1,1,NPS,Coastal OTB,1317209.5764,4940.2208183,1814.8929564,366.11488111,10399.476897,56565.335235
2023,7,02306647,1,1,NPS,Coastal OTB,1289809.3448,4940.2208183,1830.3370407,364.68519378,10264.774018,55802.312065
2023,8,02306647,1,1,NPS,Coastal OTB,2281409.3566,4940.2208183,3337.3234274,645.05364044,18156.28921,98702.895418
2023,9,02306647,1,1,NPS,Coastal OTB,1752114.5808,4940.2208183,2445.5140579,495.39898902,13943.967997,75803.486001
2023,10,02306647,1,1,NPS,Coastal OTB,651166.34865,4940.2208183,895.74817219,184.11304508,5182.2197167,28172.061197
2023,11,02306647,1,1,NPS,Coastal OTB,261394.1952,4940.2208183,349.05893129,72.653817899,2063.7284625,11225.131175
2023,12,02306647,1,1,NPS,Coastal OTB,710712.25084,4940.2208183,937.17763136,197.54057052,5611.1311101,30520.334383
2024,1,02306647,1,1,NPS,Coastal OTB,776663.77587,4940.2208183,1056.7866261,215.87162063,6131.8237722,33352.510971
2024,2,02306647,1,1,NPS,Coastal OTB,893417.68924,4940.2208183,1204.8506051,248.32305879,7053.6054282,38366.310117
2024,3,02306647,1,1,NPS,Coastal OTB,723379.54994,4940.2208183,1005.2634596,201.06141245,5711.1404683,31064.310097
2024,4,02306647,1,1,NPS,Coastal OTB,434086.908,4940.2208183,613.86874544,120.65329585,3427.1514964,18641.127359
2024,5,02306647,1,1,NPS,Coastal OTB,213784.66335,4940.2208183,308.47768732,59.420875774,1687.8473306,9180.6204324
2024,6,02306647,1,1,NPS,Coastal OTB,1576025.5284,4940.2208183,2111.2068846,438.0520832,12442.849919,67679.748121
2024,7,02306647,1,1,NPS,Coastal OTB,2726828.0594,4940.2208183,3866.0936202,770.99287834,21701.093987,117973.49037
2024,8,02306647,1,1,NPS,Coastal OTB,6571233.3797,4940.2208183,9056.1596934,1857.9734503,52296.276143,284297.84386
2024,9,02306647,1,1,NPS,Coastal OTB,7154376.972,4940.2208183,9963.6125976,2022.8535039,56937.145911,309526.96849
2024,10,02306647,1,1,NPS,Coastal OTB,18477223.003,4940.2208183,25698.535265,5224.3144916,147048.49161,799398.58418
2024,11,02306647,1,1,NPS,Coastal OTB,1246878.0768,4940.2208183,1677.1917204,346.56642878,9844.2039785,53545.068056
2024,12,02306647,1,1,NPS,Coastal OTB,241878.23768,4940.2208183,325.18436937,67.229409668,1909.6483882,10387.05142
2022,1,02307000,1,1,NPS,Coastal OTB,605675.12609,11651.124321,439.11446642,63.595888239,3837.5612613,17380.177144
2022,2,02307000,1,1,NPS,Coastal OTB,624478.57509,11651.124321,423.39647391,40.591107381,3956.7000278,17919.752339
2022,3,02307000,1,1,NPS,Coastal OTB,1139278.0812,11651.124321,724.58085967,160.63820945,7218.4728117,32692.204146
2022,4,02307000,1,1,NPS,Coastal OTB,3429750.24,11651.124321,3127.9322189,185.20651296,21730.91826,98418.548432
2022,5,02307000,1,1,NPS,Coastal OTB,2165118.1186,11651.124321,1500.4268562,164.54897701,13718.201492,62129.241929
2022,6,02307000,1,1,NPS,Coastal OTB,1457910.5414,11651.124321,1210.0657494,147.24896469,9237.3300062,41835.535882
2022,7,02307000,1,1,NPS,Coastal OTB,4767278.8088,11651.124321,5129.5919982,591.14257229,30886.786868,142087.56264
2022,8,02307000,1,1,NPS,Coastal OTB,4285197.1324,11651.124321,5236.5108958,274.25261647,27763.421403,127719.23783
2022,9,02307000,1,1,NPS,Coastal OTB,15259845.715,11651.124321,18281.295167,732.47259433,98867.219885,454815.9172
2022,10,02307000,1,1,NPS,Coastal OTB,3246368.7391,11651.124321,4223.5257296,779.12849738,21032.942138,96757.215191
2022,11,02307000,1,1,NPS,Coastal OTB,2687336.4557,11651.124321,4020.2553377,155.86551443,17026.980033,77114.581124
2022,12,02307000,1,1,NPS,Coastal OTB,2462745.9345,11651.124321,2738.5734791,118.21180485,15603.973132,70669.833972
2023,1,02307000,1,1,NPS,Coastal OTB,2219544.3716,11651.124321,2732.2591215,204.19808219,14063.04656,63691.032859
2023,2,02307000,1,1,NPS,Coastal OTB,830848.35703,11651.124321,524.26531329,62.313626777,5264.2602141,23841.645468
2023,3,02307000,1,1,NPS,Coastal OTB,438411.0305,11651.124321,220.52074834,64.884832514,2777.7749402,12580.442953
2023,4,02307000,1,1,NPS,Coastal OTB,212805.76896,11651.124321,154.49698826,32.346476882,1348.3386389,6106.5772763
2023,5,02307000,1,1,NPS,Coastal OTB,176603.22766,11651.124321,191.26129556,34.437629395,1118.9591184,5067.7256648
2023,6,02307000,1,1,NPS,Coastal OTB,1290925.7395,11651.124321,1126.9781706,180.72960353,8179.3132916,37043.816175
2023,7,02307000,1,1,NPS,Coastal OTB,1398108.8857,11651.124321,836.06911364,195.73524399,9058.2264856,41670.288616
2023,8,02307000,1,1,NPS,Coastal OTB,3935159.7399,11651.124321,4234.2318801,550.92236358,25495.559427,117286.46015
2023,9,02307000,1,1,NPS,Coastal OTB,3753250.7328,11651.124321,4233.6668266,525.45510259,24316.986712,111864.70731
2023,10,02307000,1,1,NPS,Coastal OTB,1672640.9559,11651.124321,1485.3051688,234.16973382,10836.896012,49852.648886
2023,11,02307000,1,1,NPS,Coastal OTB,905528.48832,11651.124321,742.53336042,126.77398836,5737.4339775,25984.632451
2023,12,02307000,1,1,NPS,Coastal OTB,918860.15938,11651.124321,838.91932551,128.64042231,5821.903526,26367.192002
2024,1,02307000,1,1,NPS,Coastal OTB,1262559.4263,11651.124321,1228.4703218,154.03225001,7999.5841593,36229.829389
2024,2,02307000,1,1,NPS,Coastal OTB,1457497.3546,11651.124321,1833.5316721,202.59213229,9234.7120519,41823.679261
2024,3,02307000,1,1,NPS,Coastal OTB,1416787.1498,11651.124321,1725.6467485,140.26192783,8976.7719483,40655.477795
2024,4,02307000,1,1,NPS,Coastal OTB,1066013.5104,11651.124321,1261.0939828,134.31770231,6754.2680479,30589.83744
2024,5,02307000,1,1,NPS,Coastal OTB,194225.13755,11651.124321,112.2621295,32.047147695,1230.6116459,5573.3959527
2024,6,02307000,1,1,NPS,Coastal OTB,1898605.5379,11651.124321,953.09998004,212.64382025,12029.576169,54481.518481
2024,7,02307000,1,1,NPS,Coastal OTB,5257523.2227,11651.124321,6598.1916445,467.91956682,34063.038003,156699.17582
2024,8,02307000,1,1,NPS,Coastal OTB,12125986.709,11651.124321,3989.4496271,1418.7404449,78563.218569,361412.02669
2024,9,02307000,1,1,NPS,Coastal OTB,12592455.149,11651.124321,10162.111305,1334.8002458,81585.427227,375315.00287
2024,10,02307000,1,1,NPS,Coastal OTB,28381838.456,11651.124321,41153.665761,4654.6215067,183883.47535,845913.65667
2024,11,02307000,1,1,NPS,Coastal OTB,2624993.1475,11651.124321,4121.2392416,388.49898583,16631.972455,75325.60599
2024,12,02307000,1,1,NPS,Coastal OTB,495046.02426,11651.124321,706.43067662,67.821305323,3136.6146031,14205.614901
2022,1,206-1,1,1,NPS,Coastal OTB,2301056.0181,33985.199759,3013.9571998,582.10495294,18446.972009,94910.774883
2022,2,206-1,1,1,NPS,Coastal OTB,1803079.4908,33985.199759,2394.1671818,456.13035663,14454.822758,74370.928089
2022,3,206-1,1,1,NPS,Coastal OTB,2348894.3086,33985.199759,3095.9055577,594.20674692,18830.479234,96883.942502
2022,4,206-1,1,1,NPS,Coastal OTB,5032569.3687,33985.199759,7021.008018,1273.1039716,40344.809318,207576.45824
2022,5,206-1,1,1,NPS,Coastal OTB,6254023.7892,33985.199759,8296.402559,1582.0989124,50136.894052,257957.32017
2022,6,206-1,1,1,NPS,Coastal OTB,9859392.5486,33985.199759,13521.632046,2494.1597208,79040.204561,406666.58235
2022,7,206-1,1,1,NPS,Coastal OTB,30637846.396,33985.199759,42559.422534,7998.631537,251200.40863,1296993.556
2022,8,206-1,1,1,NPS,Coastal OTB,20331493.296,33985.199759,28005.480589,5307.9489129,166698.38206,860694.17049
2022,9,206-1,1,1,NPS,Coastal OTB,70434884.527,33985.199759,94603.926688,18388.455944,577497.24135,2981723.6555
2022,10,206-1,1,1,NPS,Coastal OTB,7418536.0578,33985.199759,10119.62462,1936.7593826,60824.748091,314049.27545
2022,11,206-1,1,1,NPS,Coastal OTB,8961686.8033,33985.199759,11699.630162,2267.0644408,71843.529371,369639.25784
2022,12,206-1,1,1,NPS,Coastal OTB,4139867.5669,33985.199759,5423.3051543,1047.2745541,33188.249451,170755.52946
2023,1,206-1,1,1,NPS,Coastal OTB,3540690.8896,33985.199759,4692.4643012,895.69905621,28384.804725,146041.5189
2023,2,206-1,1,1,NPS,Coastal OTB,2080784.8405,33985.199759,2783.3690515,526.38230107,16681.114849,85825.334121
2023,3,206-1,1,1,NPS,Coastal OTB,1575236.4265,33985.199759,2107.4036493,398.49222215,12628.263736,64973.172618
2023,4,206-1,1,1,NPS,Coastal OTB,1559212.6073,33985.199759,2115.2170239,394.43862917,12499.804915,64312.244295
2023,5,206-1,1,1,NPS,Coastal OTB,2669060.6694,33985.199759,3761.5641378,675.20017903,21397.170288,110089.72157
2023,6,206-1,1,1,NPS,Coastal OTB,5368398.8039,33985.199759,7133.3022542,1358.059738,43037.067196,221428.28613
2023,7,206-1,1,1,NPS,Coastal OTB,7674485.0454,33985.199759,10630.958307,2003.5800598,62923.27974,324884.37735
2023,8,206-1,1,1,NPS,Coastal OTB,21689248.158,33985.199759,30777.877507,5662.4183725,177830.64546,918172.07816
2023,9,206-1,1,1,NPS,Coastal OTB,11931017.439,33985.199759,16312.260771,3114.8342191,97822.686921,505076.38608
2023,10,206-1,1,1,NPS,Coastal OTB,6081858.652,33985.199759,8220.5601863,1587.7926205,49865.299239,257463.64083
2023,11,206-1,1,1,NPS,Coastal OTB,2782858.8281,33985.199759,3607.2169442,703.98803613,22309.460746,114783.51057
2023,12,206-1,1,1,NPS,Coastal OTB,3272384.1697,33985.199759,4199.811301,827.82471098,26233.859023,134974.77455
2024,1,206-1,1,1,NPS,Coastal OTB,4154440.8358,33985.199759,5465.6335894,1050.9611971,33305.079586,171356.6275
2024,2,206-1,1,1,NPS,Coastal OTB,4305705.2542,33985.199759,5624.7590278,1089.2270048,34517.727374,177595.77293
2024,3,206-1,1,1,NPS,Coastal OTB,3955784.2514,33985.199759,5292.1796543,1000.7064528,31712.501038,163162.71557
2024,4,206-1,1,1,NPS,Coastal OTB,3280695.5453,33985.199759,4450.5688544,829.92726427,26300.489175,135317.59067
2024,5,206-1,1,1,NPS,Coastal OTB,2493851.0392,33985.199759,3438.1243131,630.87688017,19992.559918,102862.91716
2024,6,206-1,1,1,NPS,Coastal OTB,5207861.7674,33985.199759,6767.34181,1317.4482087,41750.083222,214806.67657
2024,7,206-1,1,1,NPS,Coastal OTB,15504490.097,33985.199759,21462.054923,4047.7617731,127121.67159,656352.39125
2024,8,206-1,1,1,NPS,Coastal OTB,57263544.648,33985.199759,77513.068202,14949.810382,469505.12216,2424140.6346
2024,9,206-1,1,1,NPS,Coastal OTB,35481838.145,33985.199759,48426.577433,9263.2538823,290916.4086,1502054.5124
2024,10,206-1,1,1,NPS,Coastal OTB,130386366.24,33985.199759,177769.78963,34040.006843,1069040.8214,5519652.8705
2024,11,206-1,1,1,NPS,Coastal OTB,27095380.727,33985.199759,35323.952924,6854.3986757,217216.67179,1117592.775
2024,12,206-1,1,1,NPS,Coastal OTB,5919300.1133,33985.199759,7713.7553938,1497.4228732,47453.500762,244151.10111
2022,1,LTARPON,1,1,NPS,Coastal OTB,262714.50523,14945.907456,245.13648645,66.326550479,1354.1830337,6286.3448359
