bayseg,YEAR,MONTH,h2oload10e6m3
1,2022,1,19.603912168
1,2022,2,15.114810738
1,2022,3,27.80529406
1,2022,4,54.723073173
1,2022,5,35.208899946
1,2022,6,63.886204036
1,2022,7,109.85302431
1,2022,8,74.714170842
1,2022,9,190.8724252
1,2022,10,26.171248004
1,2022,11,52.051608661
1,2022,12,34.864123013
1,2023,1,26.847209396
1,2023,2,14.294316184
1,2023,3,12.069930175
1,2023,4,15.648482631
1,2023,5,34.828186276
1,2023,6,47.221080662
1,2023,7,39.824156322
1,2023,8,86.264499461
1,2023,9,55.136187925
1,2023,10,19.417811218
1,2023,11,22.048200169
1,2023,12,38.470235165
1,2024,1,32.809337158
1,2024,2,35.886173898
1,2024,3,32.848257258
1,2024,4,21.91444296
1,2024,5,18.311538127
1,2024,6,60.563458772
1,2024,7,80.914228755
1,2024,8,183.55518877
1,2024,9,138.49248373
1,2024,10,310.10053893
1,2024,11,43.09622321
1,2024,12,22.495263177
2,2022,1,36.349065804
2,2022,2,30.091190358
2,2022,3,32.686011907
2,2022,4,54.907502142
2,2022,5,38.920151814
2,2022,6,59.661758504
2,2022,7,103.58280338
2,2022,8,84.165246896
2,2022,9,298.63276903
2,2022,10,135.60898101
2,2022,11,110.08865183
2,2022,12,75.782776864
2,2023,1,62.318379432
2,2023,2,36.157056774
2,2023,3,24.231104891
2,2023,4,24.827546107
2,2023,5,43.134074986
2,2023,6,106.08402528
2,2023,7,94.431097011
2,2023,8,115.75805809
2,2023,9,112.42424407
2,2023,10,40.504922038
2,2023,11,32.148064396
2,2023,12,44.54022973
2,2024,1,60.047222172
2,2024,2,50.648590575
2,2024,3,45.157682939
2,2024,4,30.969848876
2,2024,5,24.872526481
2,2024,6,49.285617012
2,2024,7,101.88137734
2,2024,8,354.2790278
2,2024,9,266.13876158
2,2024,10,375.5200775
2,2024,11,107.15458002
2,2024,12,44.353653543
3,2022,1,14.78060661
3,2022,2,12.899147704
3,2022,3,22.582347492
3,2022,4,40.010971755
3,2022,5,36.651768221
3,2022,6,67.825956643
3,2022,7,87.775140219
